ingredient_clean,true_manufacturer_count
AVUTOMETINIB POTASSIUM;DEFACTINIB HYDROCHLORIDE,1
AXITINIB,2
AZACITIDINE,16
AZATHIOPRINE,6
AZATHIOPRINE SODIUM,1
AZELAIC ACID,6
AZELASTINE HYDROCHLORIDE,11
AZELASTINE HYDROCHLORIDE;FLUTICASONE PROPIONATE,4
AZILSARTAN KAMEDOXOMIL,1
AZILSARTAN KAMEDOXOMIL;CHLORTHALIDONE,2
AZITHROMYCIN,23
AZTREONAM,4
BACITRACIN,1
BACITRACIN ZINC;HYDROCORTISONE ACETATE;NEOMYCIN SULFATE;POLYMYXIN B SULFATE,1
BACITRACIN ZINC;HYDROCORTISONE;NEOMYCIN SULFATE;POLYMYXIN B SULFATE,1
BACITRACIN ZINC;NEOMYCIN SULFATE;POLYMYXIN B SULFATE,3
BACITRACIN ZINC;POLYMYXIN B SULFATE,2
BACLOFEN,24
BALOXAVIR MARBOXIL,1
BALSALAZIDE DISODIUM,6
BARICITINIB,2
BARIUM SULFATE,1
"BAZEDOXIFENE ACETATE;ESTROGENS, CONJUGATED",1
BECLOMETHASONE DIPROPIONATE,3
BEDAQUILINE FUMARATE,1
BELINOSTAT,1
BELUMOSUDIL MESYLATE,1
BELZUTIFAN,1
BEMPEDOIC ACID,1
BEMPEDOIC ACID;EZETIMIBE,1
BENAZEPRIL HYDROCHLORIDE,11
BENAZEPRIL HYDROCHLORIDE;HYDROCHLOROTHIAZIDE,4
BENDAMUSTINE HYDROCHLORIDE,9
BENOXINATE HYDROCHLORIDE;FLUORESCEIN SODIUM,2
BENTOQUATAM,1
BENZGALANTAMINE GLUCONATE,1
BENZNIDAZOLE,1
BENZONATATE,9
BENZOYL PEROXIDE,1
BENZOYL PEROXIDE;CLINDAMYCIN PHOSPHATE,9
BENZOYL PEROXIDE;ERYTHROMYCIN,2
BENZOYL PEROXIDE;TRETINOIN,1
BENZPHETAMINE HYDROCHLORIDE,3
BENZTROPINE MESYLATE,12
BEPOTASTINE BESILATE,5
BERDAZIMER SODIUM,1
BEROTRALSTAT DIHYDROCHLORIDE,1
BESIFLOXACIN HYDROCHLORIDE,1
BETAINE,3
BETAMETHASONE ACETATE;BETAMETHASONE SODIUM PHOSPHATE,3
BETAMETHASONE DIPROPIONATE,14
BETAMETHASONE DIPROPIONATE;CALCIPOTRIENE,5
BETAMETHASONE DIPROPIONATE;CLOTRIMAZOLE,4
BETAMETHASONE VALERATE,9
BETAXOLOL HYDROCHLORIDE,6
BETHANECHOL CHLORIDE,4
BEXAGLIFLOZIN,1
BEXAROTENE,9
BICALUTAMIDE,7
BICTEGRAVIR SODIUM;EMTRICITABINE;TENOFOVIR ALAFENAMIDE FUMARATE,1
BIMATOPROST,11
BINIMETINIB,1
BIRCH TRITERPENES,1
BISMUTH SUBCITRATE POTASSIUM;METRONIDAZOLE;TETRACYCLINE HYDROCHLORIDE,3
BISMUTH SUBSALICYLATE;METRONIDAZOLE;TETRACYCLINE HYDROCHLORIDE,1
BISOPROLOL FUMARATE,11
BISOPROLOL FUMARATE;HYDROCHLOROTHIAZIDE,9
BIVALIRUDIN,9
BLEOMYCIN SULFATE,4
BORTEZOMIB,19
BOSENTAN,5
BOSUTINIB MONOHYDRATE,2
BREMELANOTIDE ACETATE,1
BRENSOCATIB,1
BREXPIPRAZOLE,2
BRIGATINIB,1
BRILLIANT BLUE G,1
BRIMONIDINE TARTRATE,15
BRIMONIDINE TARTRATE;BRINZOLAMIDE,1
BRIMONIDINE TARTRATE;CARBACHOL,1
BRIMONIDINE TARTRATE;TIMOLOL MALEATE,10
BRINCIDOFOVIR,2
BRINZOLAMIDE,3
BRIVARACETAM,12
BROMFENAC SODIUM,9
BROMOCRIPTINE MESYLATE,6
BROMPHENIRAMINE MALEATE;DEXTROMETHORPHAN HYDROBROMIDE;PSEUDOEPHEDRINE HYDROCHLORIDE,8
BUDESONIDE,23
BUDESONIDE;FORMOTEROL FUMARATE,1
BUDESONIDE;FORMOTEROL FUMARATE DIHYDRATE,2
BUDESONIDE;FORMOTEROL FUMARATE;GLYCOPYRROLATE,1
BUMETANIDE,21
BUPIVACAINE,1
BUPIVACAINE HYDROCHLORIDE,10
BUPIVACAINE HYDROCHLORIDE;EPINEPHRINE,1
BUPIVACAINE HYDROCHLORIDE;EPINEPHRINE BITARTRATE,3
BUPIVACAINE;MELOXICAM,1
BUPRENORPHINE,7
BUPRENORPHINE HYDROCHLORIDE,12
BUPRENORPHINE HYDROCHLORIDE;NALOXONE HYDROCHLORIDE,17
BUPROPION HYDROBROMIDE,1
BUPROPION HYDROCHLORIDE,29
BUPROPION HYDROCHLORIDE;DEXTROMETHORPHAN HYDROBROMIDE,1
BUPROPION HYDROCHLORIDE;NALTREXONE HYDROCHLORIDE,1
BUSPIRONE HYDROCHLORIDE,15
BUSULFAN,10
BUTENAFINE HYDROCHLORIDE,2
BUTOCONAZOLE NITRATE,1
BUTORPHANOL TARTRATE,4
CABAZITAXEL,3
CABERGOLINE,5
CABOTEGRAVIR,1
CABOTEGRAVIR SODIUM,1
CABOTEGRAVIR;RILPIVIRINE,1
CABOZANTINIB S-MALATE,1
CAFFEINE CITRATE,7
CAFFEINE;ERGOTAMINE TARTRATE,2
